1,1,A,CAB-ANA-1,Cabarrus Analog 1,Analog,Cab-Analog,2
2,2,A,CAB-ANA-2,Cabarrus Analog 2,Analog,Cab-Analog,2
3,3,A,CAB-ANA-3,Cabarrus Analog 3,Analog,Cab-Analog,2
4,4,A,CAB-ANA-4,Cabarrus Analog 4,Analog,Cab-Analog,2
5,5,A,CAB-ANA-5,Cabarrus Analog 5,Analog,Cab-Analog,2
6,6,A,CAB-ANA-6,Cabarrus Analog 6,Analog,Cab-Analog,2
7,7,A,CAB-ANA-7,Cabarrus Analog 7,Analog,Cab-Analog,2
8,8,A,CAB-ANA-8,Cabarrus Analog 8,Analog,Cab-Analog,2
9,9,A,CAB-ANA-9,Cabarrus Analog 9,Analog,Cab-Analog,2
10,10,A,CAB-ANA-10,Cabarrus Analog 10,Analog,Cab-Analog,2
