4150,1036,D,ALAMANCE HLP,Help,Emergency Ops,Alamance County,2
4151,1037,D,ALAMANCE COM,Common,Interop,Alamance County,2
4152,1038,D,ACOEMSADMIN,EMS Administration,EMS-Talk,Alamance County,2
4153,1039,D,ALAMANCE EVT,Events,Multi-Tac,Alamance County,2
4154,103a,D,ELN/GIBPDADM,Elon/Gibsonville Police Administration,Law Talk,Alamance County,2
4155,103b,D,ALA RSQ DISP,Alamance County Rescue,EMS Dispatch,Alamance County,2
4156,103c,D,ACOFIRETAC10,Fire - TAC 10,Fire-Tac,Alamance County,2
4157,103d,D,ACOFIRETAC2,Fire - TAC 2,Fire-Tac,Alamance County,2
4158,103e,D,ACOSOAC3,Sheriff TAC 3,Law Tac,Alamance County,2
4159,103f,D,ACOFIRETAC4,Fire - TAC 4,Fire-Tac,Alamance County,2
4160,1040,D,ACOFIRETAC5,Fire - TAC 5,Fire-Tac,Alamance County,2
4161,1041,D,ACOFIRETAC6,Fire - TAC 6,Fire-Tac,Alamance County,2
4162,1042,D,GrahamPD Tac,Graham Police Tactical,Fire-Tac,Alamance County,2
4163,1043,D,ACOFIRETAC8,Fire - TAC 8,Fire-Tac,Alamance County,2
4164,1044,D,ACOFIRETAC9,Fire - TAC 9,Fire-Tac,Alamance County,2
4165,1045,D,ALAMANCE EM,Emergency Management,Emergency Ops,Alamance County,2
4166,1046,D,ALAMANCEEMS,EMS - Dispatch,EMS Dispatch,Alamance County,2
4167,1047,D,ALAMANCEFD,Fire - Dispatch,Fire Dispatch,Alamance County,2
4168,1048,D,ALAMANCE MA,Mutual Aid,Interop,Alamance County,2
4169,1049,D,ALAMANCESO,Sheriff's Office - Dispatch,Law Dispatch,Alamance County,2
4170,104a,D,GRAHAM FD T1,Graham Fire - Tac 1,Fire-Tac,Alamance County,2
4172,104c,D,ACOSOCID,Sheriffs Office Investigations,Law Tac,Alamance County,2
4173,104d,D,ALAMANCESO2,Sheriff's Office - Dispatch 2,Law Dispatch,Alamance County,2
4174,104e,D,ACSO NARC,Sheriffs Office Narcotics,Law Tac,Alamance County,2
4187,105b,D,ELON PD,Elon/Gibsonville Police Department - Dispatch,Law Dispatch,Alamance County,2
4197,1065,D,ELONSECURITY,Elon University Security Dispatch,Security,Alamance County,2
4198,1066,D,AlaCoSO Gang,Sheriffs Office Gang Task Force,Law Dispatch,Alamance County,2
4208,1070,D,ACOFIRETAC3,Fire Tac 3,Fire-Tac,Alamance County,2
4218,107a,D,GRAHAM FD,Graham Fire Department - Dispatch,Fire Dispatch,Alamance County,2
4221,107d,D,GRAHAM PD,Graham Police - Dispatch,Law Dispatch,Alamance County,2
4231,1087,D,HAW RIVER PD,Haw River Police,Law Dispatch,Alamance County,2
4244,1094,D,MEBANEPD2,Mebane PD Channel 2 Admin,Law Tac,Alamance County,2
4245,1095,D,MEBANE PD,Mebane Police,Law Dispatch,Alamance County,2
4246,1096,D,MEBANE FD,Mebane Fire Department Dispatch,Fire Dispatch,Alamance County,2
4300,10cc,D,ALEX SO,Alexander SO,Law Dispatch,Alexander County,2
4301,10cd,D,ALEX SO OPS1,Alexander SO OPS 1,Law Tac,Alexander County,2
4302,10ce,D,ALEX CID1,Alexander CID 1,Law Tac,Alexander County,2
4303,10cf,D,ALEX MAID,Alexander M AID,Interop,Alexander County,2
4304,10d0,D,ALEX FD,Alexander Fire,Fire Dispatch,Alexander County,2
4305,10d1,D,ALEX EMS,Alexander EMS,EMS Dispatch,Alexander County,2
4306,10d2,D,ALEX EM,Alexander EM,Multi-Tac,Alexander County,2
4307,10d3,D,ALEX EM OPS1,Alexander EM OPS1,Multi-Tac,Alexander County,2
4308,10d4,D,ALEX OPS1,Alexander OPS 1,Multi-Tac,Alexander County,2
4309,10d5,D,ALEX OPS2,Alexander OPS 2,Multi-Tac,Alexander County,2
4310,10d6,D,ALEX OPS3,Alexander OPS 3,Multi-Tac,Alexander County,2
4311,10d7,D,ALEX TAC,Alexander TAC,Multi-Tac,Alexander County,2
4321,1.00E+02,D,TAYLRS PD T1,Taylorsville PD TAC 1,Law Tac,Alexander County,2
4404,1134,D,ALLEGHANYFD,Fire Dispatch,Fire Dispatch,Alleghany County,2
4503,1197,D,ANSONEMS,Anson County EMS,EMS Dispatch,Anson County,2
4508,119c,D,ANSONFIRE,Anson County Fire,Fire Dispatch,Anson County,2
4510,119e,D,ANSOSO,Anson County Sheriffs Office,Law Dispatch,Anson County,2
4600,11f8,D,ASHECOMM,Ashe County Common,Multi-Talk,Ashe County,2
4601,11f9,D,ASHEEM,Ashe County Emergency Managment,Multi-Talk,Ashe County,2
4602,11fa,D,ASHEEMS,Ashe County EMS,EMS Dispatch,Ashe County,2
4603,11fb,D,ASHEFIRE,Ashe County Fire,Fire Dispatch,Ashe County,2
