1,1,D,SiteOnWhelsA,Channel A ,Interop ,Colorado Mutual Aid - SOW ,2
2,2,D,SiteOnWhelsB,Channel B ,Interop ,Colorado Mutual Aid - SOW ,2
3,3,D,SiteOnWhelsC,Channel C ,Interop ,Colorado Mutual Aid - SOW ,2
4,4,D,SiteOnWhelsD,Channel D ,Interop ,Colorado Mutual Aid - SOW ,2
5,5,D,SiteOnWhelsE,Channel E ,Interop ,Colorado Mutual Aid - SOW ,2
6,6,D,SiteOnWhelsF,Channel F ,Interop ,Colorado Mutual Aid - SOW ,2
7,7,D,SiteOnWhelsG,Channel G ,Interop ,Colorado Mutual Aid - SOW ,2
8,8,D,SiteOnWhelsH,Channel H ,Interop ,Colorado Mutual Aid - SOW ,2
9,9,D,SiteOnWhelsI,Channel I ,Interop ,Colorado Mutual Aid - SOW ,2
10,00a,D,SiteOnWhelsJ,Channel J ,Interop ,Colorado Mutual Aid - SOW ,2
11,00b,D,SiteOnWhelsK,Channel K ,Interop ,Colorado Mutual Aid - SOW ,2
12,00c,D,SiteOnWhelsL,Channel L ,Interop ,Colorado Mutual Aid - SOW ,2
13,00d,D,SiteOnWhelsM,Channel M ,Interop ,Colorado Mutual Aid - SOW ,2
14,00e,D,SiteOnWhelsN,Channel N ,Interop ,Colorado Mutual Aid - SOW ,2
15,00f,D,SiteOnWhelsO,Channel O ,Interop ,Colorado Mutual Aid - SOW ,2
16,10,D,SiteOnWlsATG,Announcement Talk Group ,Interop ,Colorado Mutual Aid - SOW ,2
39,27,D,EMetCom Disp,East MetCom Dispatch ,Fire Dispatch ,Arapahoe County ,2
40,28,D,EMetCom Ops1,East MetCom Ops 1 ,Fire-Tac ,Arapahoe County ,2
41,29,D,EMetCom Trn2,East MetCom Training 2 ,Fire-Talk ,Arapahoe County ,2
42,02a,D,EMetCom Admn,East MetCom Admin ,Fire-Talk ,Arapahoe County ,2
44,02c,D,LasAnimsLaw1,Trinidad Police & Las Animas County Sheriff Dispatch ,Law Dispatch ,Las Animas County ,2
45,02d,D,LasAnimsLaw2,Trinidad Police & Las Animas County Sheriff Tactical ,Law Tac ,Las Animas County ,2
46,02e,D,TrinidadCty1,Trinidad City Services Channel-1 ,Law Tac ,Las Animas County ,2
47,02f,D,TrinidadFD,Trinidad Fire Dispatch ,Fire Dispatch ,Las Animas County ,2
48,30,D,TrnidadFDTac,Trinidad Fire Tactical ,Fire-Tac ,Las Animas County ,2
49,31,D,TrinidadCty2,Trinidad City Services Channel-2 ,Public Works ,Las Animas County ,2
50,32,D,TrinidadLcGv,Trinidad Local Government ,Public Works ,Las Animas County ,2
51,33,D,LsAnmsLawTac,Las Animas County Law Enforcement Tactical ,Law Tac ,Las Animas County ,2
52,34,D,TrinidadR&B,Trinidad Road & Bridge ,Public Works ,Las Animas County ,2
53,35,D,Adams Co MAC,County Mutual Aid Channel ,Interop ,Adams County ,2
63,03f,D,LafyeteFDFG2,Lafayette Fire Fireground 2 ,Fire-Tac ,Boulder County ,2
64,40,D,LafyeteFDFG1,Lafayette Fire Fireground 1 ,Fire-Tac ,Boulder County ,2
66,42,D,AVISTA,Avista Adventist Hospital ,Hospital ,Colorado Hospitals ,2
