2,2,D,Brmfield PD2,Police 2 - Car/Car ,Law Tac ,Broomfield County ,2
3,3,D,Brmfield PD3,Police 3 - Special Operations/Training ,Law Tac ,Broomfield County ,2
4,4,D,BrmfldPDRecd,Police - Records ,Law Tac ,Broomfield County ,2
5,5,D,BrmfldPDTac,Police - Tactical ,Law Tac ,Broomfield County ,2
6,6,D,NorthMetroFD,Fire Dispatch ,Fire Dispatch ,North Metro Fire Rescue District ,2
7,7,D,NrthMtroOpsA,Operations A ,Fire-Tac ,North Metro Fire Rescue District ,2
8,8,D,AdamsCoFDDsp,Fire Dispatch ,Fire Dispatch ,Adams County Fire Rescue ,2
9,9,D,AdamsFDOpsA,Fire Operations A ,Fire-Tac ,Adams County Fire Rescue ,2
10,00a,D,NrthMtroAdmn,Fire Administration ,Fire-Tac ,North Metro Fire Rescue District ,2
11,00b,DE,Thornton PD 1,Police 1 Dispatch ,Law Dispatch ,Thornton ,2
12,00c,DE,Thornton PD 2,Police 2 Car/Car ,Law Tac ,Thornton ,2
13,00d,DE,Thornton PD 3,Police 3 ,Law Tac ,Thornton ,2
14,00e,D,Brighton PD 1,Police 1 Dispatch ,Law Dispatch ,Brighton ,2
15,00f,D,Brighton PD 2,Police 2 Car/Car ,Law Tac ,Brighton ,2
16,10,D,Brighton PD 3,Police 3 ,Law Tac ,Brighton ,2
17,11,D,ComrceCtyPD1,Police 1 ,Law Dispatch ,Commerce City ,2
18,12,D,ComrceCtyPD2,Police 2 Car/Car ,Law Tac ,Commerce City ,2
19,13,D,ComrceCtyPD3,Police 3 ,Law Tac ,Commerce City ,2
20,14,D,NrthglennPD1,Police 1 Dispatch ,Law Dispatch ,Northglenn ,2
21,15,D,NrthglennPD2,Police 2 Car/Car ,Law Tac ,Northglenn ,2
22,16,D,NrthglennPD3,Police 3 ,Law Tac ,Northglenn ,2
23,17,D,AdamsSO Disp,Sheriff Dispatch ,Law Dispatch ,Adams County ,2
