1000,3.00E+08,D,Radio Tech 1,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
1001,3.00E+09,D,Radio Tech 2,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
1002,3ea,D,Radio Tech 3,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
1003,3eb,DE,Radio Tech 4,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
1004,3ec,D,Radio Tech 5,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
1007,3ef,DE,Radio Tech 6,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
1008,3f0,D,Radio Tech 7,Radio Technicians / Testing ,Public Works ,Radio Technicians ,2
2282,8ea,D,Green NE,Green NE - Denver Metro  ,Interop ,Mutual Aid ,2
2286,8ee,D,Red NE,Red NE - Fire Mutual Aid NE Denver Metro ,Interop ,Mutual Aid ,2
2287,8ef,D,Blue NE,Blue NE - Law Enforcement Mutual Aid NE Denver Metro ,Interop ,Mutual Aid ,2
2288,8f0,D,Red SW,Red SW - Fire Mutual Aid SW Denver Metro ,Interop ,Mutual Aid ,2
2289,8f1,D,Green-1,Green-1 - Denver Metro  ,Interop ,Mutual Aid ,2
2290,8f2,D,Blue SW,Blue SW - Law Enforcement Mutual Aid SW Denver Metro ,Interop ,Mutual Aid ,2
2291,8f3,D,Green SE,Green SE - Denver Metro  ,Interop ,Mutual Aid ,2
2292,8f4,D,Silver,Silver - Denver/Auraria/Glendale Mutual Aid ,Interop ,Mutual Aid ,2
2293,8f5,D,Grey,Grey - Denver Metro Federal Mutual Aid ,Interop ,Mutual Aid ,2
2294,8f6,D,Green NW,Green NW - Denver Metro  ,Interop ,Mutual Aid ,2
2295,8f7,D,Red NW,Red NW - Fire Mutual Aid NW Denver Metro (Linked to 155.25 in Boulder) ,Interop ,Mutual Aid ,2
2296,8f8,D,Blue NW,Blue NW - Law Enforcement Mutual Aid NW Denver Metro (Linked to 156.03 in Boulder) ,Interop ,Mutual Aid ,2
2297,8f9,D,Red SE,Red SE - Fire Mutual Aid SE Denver Metro ,Interop ,Mutual Aid ,2
2298,8fa,D,Blue SE,Blue SE - Law Enforcement Mutual Aid SE Denver Metro ,Interop ,Mutual Aid ,2
2299,8fb,D,Gold-2,Gold-2 - Denver Metro Command/Control-2 ,Interop ,Mutual Aid ,2
3030,bd6,D,Green SW,Green SW - Denver Metro  ,Interop ,Mutual Aid ,2
3997,f9d,D,Metro Net,Metro Net ,Interop ,Mutual Aid ,2
10096,2770,D,RTDSecurity1,Regional Transportation District Security Channel-1 (Link to DTRS RTD Security-1 Talk Group) ,Security ,Lakewood ,2
34903,8857,D,Gold-1,Gold-1 - Denver Metro Command/Control-1 ,Interop ,Mutual Aid ,2
35072,8900,D,DPD DISP1 NW,District 1 Dispatch ,Law Dispatch ,Denver Police ,2
35083,890b,D,DPD DISP2 NC,District 2 Dispatch ,Law Dispatch ,Denver Police ,2
35094,8916,D,DPD DISP3 SE,District 3 Dispatch ,Law Dispatch ,Denver Police ,2
35105,8921,D,DPD DISP4 SW,District 4 Dispatch ,Law Dispatch ,Denver Police ,2
35116,892c,D,DPD DISP5 NE,District 5 Dispatch ,Law Dispatch ,Denver Police ,2
35127,8937,D,DPD D6 DTOWN,District 6 Dispatch ,Law Dispatch ,Denver Police ,2
35138,8942,D,DPD TO-1,Traffic Operations 1 ,Law Tac ,Denver Police ,2
35192,8978,D,DPD CLNC-1,Clearances 1 ,Law Tac ,Denver Police ,2
35225,8999,D,DPD AGENCY,Citywide Simulcast ,Law Dispatch ,Denver Police ,2
35701,8b75,D,DCC CON SRV,Denver Convention Center Services ,Business ,Denver City Services ,2
35702,8b76,D,DCC OPS,Denver Convention Center Operations ,Business ,Denver City Services ,2
35703,8b77,D,DCC BLD SRV,Denver Convention Center Building Services ,Business ,Denver City Services ,2
35704,8b78,D,DCC Parking,Denver Convention Center Parking ,Business ,Denver City Services ,2
35705,8b79,D,DCC TEC SVC,Denver Convention Center Tech Services ,Business ,Denver City Services ,2
35706,8b7a,D,DCCTELCOM,Denver Convention Center Telcom ,Business ,Denver City Services ,2
